City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,Luderitz,-26.65,15.16,51.8,71,0,10.63,NA,2020-06-23 03:04:52
168,Sumoto,34.35,134.9,86.0,44,20,4.7,JP,2020-06-23 03:04:52
169,Puerto Ayacucho,5.66,-67.62,76.1,90,100,2.46,VE,2020-06-23 03:04:52
170,Beringovskiy,63.05,179.32,40.24,85,100,16.53,RU,2020-06-23 03:04:52
171,Mahebourg,-20.41,57.7,71.6,83,40,8.05,MU,2020-06-23 03:04:02
172,Souillac,-20.52,57.52,71.6,83,40,8.05,MU,2020-06-23 03:04:53
173,Vuktyl,63.86,57.31,48.63,76,95,2.15,RU,2020-06-23 03:04:53
174,Tutoia,-2.76,-42.27,77.0,83,28,2.89,BR,2020-06-23 03:04:53
175,Torbay,47.67,-52.73,60.01,93,90,21.92,CA,2020-06-23 03:04:53
176,Da Nang,16.07,108.22,96.8,50,20,4.7,VN,2020-06-23 03:04:25
177,Port Elizabeth,-33.92,25.57,48.2,81,0,2.24,ZA,2020-06-23 03:04:54
178,Hamilton,39.18,-84.53,79.0,78,20,3.36,US,2020-06-23 03:00:08
179,Longyearbyen,78.22,15.64,41.0,80,81,4.7,SJ,2020-06-23 03:04:54
180,Deputatskiy,69.3,139.9,75.49,43,0,4.63,RU,2020-06-23 03:04:54
181,Colares,38.8,-9.45,66.99,88,0,13.42,PT,2020-06-23 03:04:55
182,Krabi,8.07,98.91,86.0,74,40,3.36,TH,2020-06-23 03:04:55
183,Fershampenuaz,53.52,59.81,53.28,65,31,7.61,RU,2020-06-23 03:04:55
184,Hokitika,-42.72,170.97,56.41,65,0,2.08,NZ,2020-06-23 03:04:55
185,Acari,-15.43,-74.62,61.86,64,56,1.05,PE,2020-06-23 03:04:55
186,Zaragoza,41.66,-0.88,64.4,72,0,5.82,ES,2020-06-23 03:04:56
187,Haines Junction,60.75,-137.51,55.29,40,57,8.77,CA,2020-06-23 03:04:56
188,Nova Vicosa,-17.89,-39.37,70.25,80,0,4.68,BR,2020-06-23 03:04:56
189,Taga,46.95,24.05,64.4,93,75,10.29,RO,2020-06-23 03:04:56
190,Carnarvon,-24.87,113.63,71.6,60,90,10.29,AU,2020-06-23 03:04:56
191,Shelburne,44.08,-80.2,73.4,78,90,3.36,CA,2020-06-23 03:01:06
192,Catumbela,-12.43,13.55,68.23,74,0,5.57,AO,2020-06-23 03:04:57
193,Daru,-9.08,143.21,80.31,82,12,14.83,PG,2020-06-23 03:04:57
194,Puerto Carreno,6.19,-67.49,78.49,88,100,1.7,CO,2020-06-23 03:00:05
195,Marzuq,14.4,46.47,80.94,21,82,1.83,YE,2020-06-23 03:04:57
196,Saint George,37.1,-113.58,100.4,9,1,13.87,US,2020-06-23 03:04:58
